연도,A61 위생학; 의학 및 수의학,B05 무화 또는 분무일반; 액체 또는 타유동성 재료의 표면에의 적용일반,B25 수송구; 휴대용 동력 구동 공구; 휴대용 기구의 손잡이; 작업장 설비; 매니플레이터,C07 유기화학,C12 생화학; 맥주; 주정; 포도주; 미생물학; 효소학; 돌연변이 또는 유전자 공학,C22 야금; 철 또는 비합철금; 합금의 처리 또는 비철금속의 처리,C23 금속재료의 피복; 금속피복재료; 화학적 표면처리; 금속질재료의 확산처리; 진공증착; 스퍼터링; 이온주입법 또는 화학 증착에 의한 피복 일반; 금속질재료의 방식 또는 이물질형성방지일반,G01 측정; 시험,G03 전자사진; 영화; 광파 이외의 파를 사용하는 유사기술; 영화; 사진; 홀로그래피,G06 산술논리연산; 계산; 계수
2015,13764.0,645.0,795.0,4365.0,3106.0,948.0,962.0,8959.0,1903.0,19703.0
2016,13996.0,615.0,1009.0,4408.0,3216.0,1016.0,1156.0,8947.0,1979.0,20449.0
2017,14867.0,647.0,985.0,4796.0,3421.0,956.0,1285.0,8396.0,2027.0,19815.0
2018,15758.0,829.0,1071.0,4889.0,3579.0,931.0,1366.0,8657.0,2087.0,20262.0
2019,16134.0,826.0,1390.0,5505.0,3683.0,960.0,1263.0,8741.0,1964.0,21536.0
2020,17818.0,830.0,1128.0,5765.0,4078.0,856.0,1446.0,9616.0,1930.0,24223.0
2021,18292.0,880.0,1418.0,6217.0,4589.0,962.0,1546.0,10791.0,2097.0,29338.0
2022,18200.0,799.0,1565.0,6497.0,4806.0,1061.0,1661.0,10767.0,2138.0,30709.0
2023,17852.0,740.0,1725.0,6582.0,4856.0,1282.0,1512.0,11706.0,2273.0,30550.0
2024,17223.0,775.0,2078.0,6452.0,4537.0,1418.0,1348.0,12100.0,2328.0,31023.0
