연도,A,B,C,D,E,F,G,H
2015,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2016,101.6855565242662,98.50316455696203,100.59343434343435,114.7972972972973,96.4700996677741,92.9940347759868,98.3668845727232,91.49832904063517
2017,108.01365882011042,97.10126582278481,102.22643097643098,115.47297297297297,94.34177740863787,87.78398273892626,93.70117763670261,86.88562974946252
2018,114.48706771287416,97.0886075949367,103.73737373737373,115.27027027027029,94.6843853820598,87.34610991242543,99.32032190309867,90.34462206517806
2019,117.21883173496077,100.58544303797467,105.77861952861953,115.87837837837837,99.10714285714286,87.83475060286838,103.91050905057466,97.38606611464698
2020,129.45364719558268,99.37658227848101,108.87626262626262,116.28378378378379,104.87956810631229,81.04454880060922,114.63431902390673,96.46437770067477
2021,132.89741354257484,104.1993670886076,115.23148148148148,109.05405405405406,97.17607973421927,74.12742733849473,130.3070351403016,103.70165393047958
2022,132.22900319674514,100.8354430379747,114.72643097643098,107.5,84.04277408637874,68.0479756314253,134.95858211597007,110.99853125864747
2023,129.70066841034583,101.09810126582279,119.83164983164983,104.45945945945947,88.16445182724253,69.11410077420993,137.10853609609893,117.18427382447476
2024,125.13077593722754,99.8860759493671,116.41835016835016,102.16216216216216,86.46179401993356,68.00355375047596,140.4219668184929,125.8924200174546
