2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,대분류,구분,IPC코드
4022.0,4429.0,4492.0,4812.0,5304.0,5883.0,6870.0,7846.0,8385.0,8487.0,9104.0,9646.0,9689.0,10842.0,12531.0,13764.0,13996.0,14867.0,15758.0,16134.0,17818.0,18292.0,18200.0,17852.0,17223,A,A61 위생학; 의학 및 수의학,A61
1142.0,1251.0,1162.0,1147.0,1411.0,1629.0,1905.0,2253.0,2291.0,2500.0,2405.0,2684.0,2653.0,2825.0,3235.0,3050.0,3039.0,3125.0,3188.0,3645.0,3383.0,3590.0,3420.0,3693.0,3648,B,B01 물리적 혹은 화학적 방법 또는 장치일반,B01
46.0,58.0,71.0,57.0,63.0,53.0,71.0,109.0,101.0,90.0,111.0,100.0,101.0,97.0,117.0,174.0,182.0,170.0,175.0,177.0,220.0,191.0,182.0,147.0,118,B,B03 액체에 의하여 또는 풍력 테이블 또는 지그에 의하는 고체물질의 분리; 자기 또는 정전기에 의하는 분리,B03
28.0,12.0,22.0,20.0,27.0,16.0,31.0,39.0,69.0,58.0,64.0,65.0,106.0,72.0,90.0,81.0,102.0,97.0,76.0,80.0,93.0,89.0,85.0,58.0,42,B,B04 물리적 또는 화학적 공정을 행하기 위한 원심장치 또는 기계,B04
225.0,241.0,241.0,256.0,320.0,467.0,479.0,603.0,573.0,620.0,616.0,643.0,631.0,624.0,690.0,645.0,615.0,647.0,829.0,826.0,830.0,880.0,799.0,740.0,775,B,B05 무화 또는 분무일반; 액체 또는 타유동성 재료의 표면에의 적용일반,B05
18.0,6.0,13.0,8.0,13.0,10.0,19.0,20.0,21.0,23.0,15.0,20.0,8.0,17.0,23.0,25.0,28.0,49.0,30.0,35.0,44.0,33.0,28.0,31.0,34,B,B06 기계적 진동의 발생 또는 전달일반,B06
56.0,65.0,85.0,77.0,58.0,72.0,94.0,110.0,84.0,94.0,127.0,142.0,128.0,133.0,129.0,161.0,178.0,208.0,211.0,200.0,216.0,212.0,167.0,235.0,201,B,B07 고체상호의 분리; 선별,B07
35.0,67.0,82.0,85.0,101.0,138.0,252.0,214.0,217.0,280.0,280.0,231.0,266.0,286.0,294.0,312.0,309.0,231.0,254.0,310.0,330.0,433.0,384.0,384.0,387,B,B08 청소,B08
193.0,166.0,191.0,176.0,216.0,351.0,420.0,378.0,438.0,354.0,237.0,317.0,275.0,344.0,320.0,226.0,270.0,365.0,278.0,331.0,378.0,419.0,468.0,404.0,408,B,B09 고체폐기물 처리;오염된 토양의 재생,B09
789.0,1098.0,962.0,780.0,516.0,616.0,783.0,1021.0,991.0,1025.0,1129.0,1263.0,1392.0,1440.0,1252.0,1392.0,1174.0,1152.0,1073.0,965.0,877.0,874.0,908.0,932.0,904,B,B21 본질적으로 재료의 제거가 없는 기계적 금속가공; 금속의 펀칭,B21
486.0,536.0,519.0,457.0,445.0,469.0,610.0,650.0,547.0,542.0,707.0,796.0,739.0,892.0,873.0,902.0,786.0,801.0,816.0,687.0,622.0,661.0,646.0,623.0,587,B,B22 주조; 분말야금,B22
792.0,868.0,811.0,900.0,928.0,1221.0,1318.0,1544.0,1488.0,1681.0,1804.0,2007.0,2183.0,2348.0,2309.0,2114.0,2112.0,1993.0,1956.0,2355.0,2279.0,2249.0,2236.0,2273.0,2309,B,B23 공작기계; 딜리 분류되지 않는 금속가공,B23
224.0,267.0,242.0,229.0,256.0,255.0,415.0,474.0,479.0,409.0,342.0,393.0,459.0,553.0,490.0,429.0,425.0,568.0,571.0,552.0,514.0,597.0,617.0,700.0,612,B,B24 연삭 연마,B24
248.0,186.0,270.0,290.0,274.0,419.0,576.0,544.0,605.0,687.0,703.0,797.0,920.0,806.0,728.0,795.0,1009.0,985.0,1071.0,1390.0,1128.0,1418.0,1565.0,1725.0,2078,B,B25 수송구; 휴대용 동력 구동 공구; 휴대용 기구의 손잡이; 작업장 설비; 매니플레이터,B25
121.0,111.0,137.0,123.0,217.0,221.0,284.0,335.0,321.0,350.0,304.0,309.0,362.0,322.0,315.0,286.0,325.0,369.0,391.0,426.0,374.0,364.0,329.0,288.0,373,B,B26 절단수공구; 절단; 절단기,B26
76.0,93.0,86.0,101.0,82.0,75.0,65.0,123.0,114.0,136.0,185.0,185.0,191.0,161.0,131.0,137.0,186.0,177.0,170.0,170.0,160.0,168.0,166.0,154.0,155,B,B27 목재 또는 유사재료의 가공 또는 보존; 못박기 기계 또는 스테이플 기계 일반,B27
91.0,119.0,96.0,114.0,110.0,135.0,196.0,173.0,165.0,184.0,197.0,257.0,205.0,272.0,196.0,297.0,263.0,257.0,292.0,333.0,364.0,311.0,263.0,236.0,164,B,B28 시멘트; 점토; 석재의 가공,B28
709.0,880.0,879.0,929.0,889.0,1131.0,1257.0,1441.0,1489.0,1554.0,1404.0,1474.0,1301.0,1545.0,1740.0,2019.0,2385.0,2656.0,2310.0,2274.0,2380.0,2359.0,2027.0,1986.0,1949,B,B29 플래스틱의 가공; 가소상태 물질의 가공 일반,B29
47.0,60.0,69.0,70.0,55.0,57.0,96.0,124.0,121.0,112.0,80.0,106.0,149.0,111.0,117.0,145.0,126.0,98.0,82.0,99.0,100.0,109.0,113.0,126.0,135,B,B30 프레스,B30
49.0,67.0,50.0,60.0,81.0,75.0,63.0,74.0,78.0,73.0,84.0,97.0,79.0,105.0,79.0,109.0,93.0,88.0,111.0,160.0,164.0,116.0,123.0,147.0,105,B,B31 종이류 제품의 제조; 종이류의 가공,B31
436.0,237.0,329.0,442.0,558.0,579.0,712.0,586.0,610.0,679.0,686.0,773.0,798.0,808.0,1000.0,1112.0,1486.0,1529.0,1671.0,1279.0,1015.0,1040.0,1112.0,1016.0,872,B,B32 적층체,B32
549.0,546.0,740.0,768.0,888.0,938.0,818.0,816.0,749.0,651.0,658.0,647.0,576.0,663.0,595.0,496.0,552.0,609.0,530.0,596.0,522.0,661.0,507.0,498.0,452,B,B41 인쇄; 라이닝 장치; 타이프라이터; 스탬프,B41
106.0,111.0,91.0,80.0,135.0,116.0,88.0,213.0,254.0,204.0,119.0,139.0,180.0,143.0,168.0,195.0,235.0,147.0,130.0,146.0,132.0,159.0,176.0,192.0,157,B,B44 장식기술,B44
3740.0,3615.0,3896.0,4437.0,4620.0,4605.0,5509.0,5730.0,5367.0,4118.0,4528.0,5303.0,5583.0,6148.0,6740.0,6710.0,6327.0,6103.0,6131.0,6485.0,6587.0,6889.0,6828.0,6544.0,6467,B,B60 차량 일반,B60
93.0,104.0,94.0,133.0,142.0,164.0,229.0,233.0,301.0,308.0,315.0,334.0,308.0,390.0,412.0,334.0,324.0,272.0,310.0,266.0,290.0,321.0,367.0,350.0,329,B,B61 철도,B61
1104.0,1107.0,950.0,1135.0,1388.0,1378.0,1366.0,1474.0,1492.0,1464.0,1446.0,1392.0,1459.0,1551.0,1644.0,1657.0,1401.0,1167.0,1150.0,1158.0,1262.0,1284.0,1299.0,1222.0,1161,B,B62 철도 이외의 노면차량,B62
144.0,196.0,181.0,183.0,271.0,361.0,340.0,604.0,896.0,1084.0,1460.0,1999.0,2511.0,2637.0,3339.0,2543.0,2266.0,2004.0,1891.0,1660.0,2000.0,1939.0,1877.0,1797.0,2343,B,B63 선박 또는 그 밖의 물 위에 뜨는 구조물; 관련 의장품,B63
56.0,78.0,76.0,69.0,82.0,93.0,78.0,110.0,129.0,170.0,201.0,177.0,222.0,300.0,407.0,678.0,751.0,625.0,655.0,682.0,759.0,790.0,711.0,805.0,778,B,B64 항공기; 비행; 우주공학,B64
1239.0,1275.0,1298.0,1289.0,1654.0,1644.0,1862.0,2138.0,2422.0,2484.0,2438.0,2517.0,2625.0,3290.0,3587.0,3539.0,3166.0,3146.0,3182.0,3419.0,3320.0,3645.0,3369.0,3493.0,3007,B,B65 운반; 포장; 저장; 얇거나 단섬유 부재의 취급,B65
283.0,241.0,292.0,333.0,402.0,414.0,498.0,718.0,560.0,643.0,671.0,666.0,722.0,813.0,661.0,710.0,720.0,770.0,810.0,732.0,769.0,786.0,798.0,868.0,742,B,B66 견인장치; 양중장치; 권상장치,B66
64.0,57.0,49.0,53.0,80.0,72.0,82.0,91.0,93.0,82.0,110.0,88.0,106.0,154.0,145.0,201.0,165.0,202.0,267.0,283.0,228.0,251.0,256.0,249.0,239,B,B67 병; 단지 또는 유사한 용기의 개봉 또는 밀봉; 액체의 취급,B67
