application_no,term,application_year,ipc_prefixes
1020267006580,이온배터리,2019,['H01']
1020267006580,배터리,2019,['H01']
1020267006580,전기활성물질,2019,['H01']
1020267006580,전기 활성 물질,2019,['H01']
1020267006580,전기활성,2019,['H01']
1020267006580,전기 활성,2019,['H01']
1020267006580,활성물질,2019,['H01']
1020267006580,활성 물질,2019,['H01']
1020267006580,복합입자,2019,['H01']
1020267006580,복합 입자,2019,['H01']
1020267006580,미립자재료,2019,['H01']
1020267006580,cm,2019,['H01']
1020267006580,세공부피,2019,['H01']
1020267006580,세공 부피,2019,['H01']
1020267006580,마이크로세공,2019,['H01']
1020267006580,마이크로 세공,2019,['H01']
1020267006580,메소 세공,2019,['H01']
1020267006580,카본프레임워크,2019,['H01']
1020267006580,카본 프레임 워크,2019,['H01']
1020267006580,카본프레임,2019,['H01']
1020267006580,카본 프레임,2019,['H01']
1020267006580,프레임워크,2019,['H01']
1020267006580,프레임 워크,2019,['H01']
1020267006580,이때마이크로세공,2019,['H01']
1020267006580,이때 마이크로 세공,2019,['H01']
1020267006580,이때마이크로,2019,['H01']
1020267006580,이때 마이크로,2019,['H01']
1020267006580,부피분,2019,['H01']
1020267006580,부피 분,2019,['H01']
1020267006580,범위내,2019,['H01']
1020267006580,범위 내,2019,['H01']
1020267006580,nm이하,2019,['H01']
1020267006580,nm 이하,2019,['H01']
1020267006580,nm,2019,['H01']
1020267006580,세공직경,2019,['H01']
1020267006580,세공 직경,2019,['H01']
1020267006580,m미만,2019,['H01']
1020267006580,m 미만,2019,['H01']
1020267006580,입자크기,2019,['H01']
1020267006580,입자 크기,2019,['H01']
1020267006580,메소세 공,2019,['H01']
1020267006580,메소세공내위치,2019,['H01']
1020267006580,메소세공 내 위치,2019,['H01']
1020267006580,메소세공내,2019,['H01']
1020267006580,메소세공 내,2019,['H01']
1020267006580,내위치,2019,['H01']
1020267006580,내 위치,2019,['H01']
1020267006580,compositeparticles,2019,['H01']
1020267006580,composite particles,2019,['H01']
1020267006580,composite,2019,['H01']
1020267006580,particles,2019,['H01']
1020267006580,particulatematerial,2019,['H01']
1020267006580,particulate material,2019,['H01']
1020267006580,particulate,2019,['H01']
1020267006580,material,2019,['H01']
1020267006580,micropores,2019,['H01']
1020267006580,mesopores,2019,['H01']
1020267006580,porouscarbonframework,2019,['H01']
1020267006580,porous carbon framework,2019,['H01']
1020267006580,porouscarbon,2019,['H01']
1020267006580,porous carbon,2019,['H01']
1020267006580,carbonframework,2019,['H01']
1020267006580,carbon framework,2019,['H01']
1020267006580,porous,2019,['H01']
1020267006580,carbon,2019,['H01']
1020267006580,framework,2019,['H01']
1020267006580,가스흡착,2019,['H01']
1020267006580,가스 흡착,2019,['H01']
1020267006580,gasadsorption,2019,['H01']
1020267006580,gas adsorption,2019,['H01']
1020267006580,gas,2019,['H01']
1020267006580,adsorption,2019,['H01']
1020267006580,때p,2019,['H01']
1020267006580,때 p,2019,['H01']
1020267006580,자연수,2019,['H01']
1020267006580,ii,2019,['H01']
1020267006580,iii,2019,['H01']
1020267006580,iv,2019,['H01']
1020267006580,나노스케일원소규소,2019,['H01']
1020267006580,나노 스케일 원소 규소,2019,['H01']
1020267006580,스케일원소규소도메인,2019,['H01']
1020267006580,스케일 원소 규소 도메인,2019,['H01']
1020267006580,나노스케일원소,2019,['H01']
1020267006580,나노 스케일 원소,2019,['H01']
1020267006580,스케일원소규소,2019,['H01']
1020267006580,스케일 원소 규소,2019,['H01']
1020267006580,원소규소도메인,2019,['H01']
1020267006580,원소 규소 도메인,2019,['H01']
1020267006580,나노스케일,2019,['H01']
1020267006580,나노 스케일,2019,['H01']
1020267006580,스케일원소,2019,['H01']
1020267006580,스케일 원소,2019,['H01']
1020267006580,원소규소,2019,['H01']
1020267006580,원소 규소,2019,['H01']
1020267006580,규소도메인,2019,['H01']
1020267006580,규소 도메인,2019,['H01']
1020267006580,nanoscaleelementalsilicondomains,2019,['H01']
1020267006580,nanoscale elemental silicon domains,2019,['H01']
1020267006580,nanoscaleelementalsilicon,2019,['H01']
1020267006580,nanoscale elemental silicon,2019,['H01']
1020267006580,elementalsilicondomains,2019,['H01']
1020267006580,elemental silicon domains,2019,['H01']
1020267006580,nanoscaleelemental,2019,['H01']
1020267006580,nanoscale elemental,2019,['H01']
1020267006580,elementalsilicon,2019,['H01']
1020267006580,elemental silicon,2019,['H01']
1020267006580,silicondomains,2019,['H01']
1020267006580,silicon domains,2019,['H01']
1020267006580,nanoscale,2019,['H01']
1020267006580,elemental,2019,['H01']
1020267006580,silicon,2019,['H01']
1020267006580,domains,2019,['H01']
1020267006580,을포함,2019,['H01']
1020267006580,을 포함,2019,['H01']
1020267006580,복합입자내다공,2019,['H01']
1020267006580,복합 입자 내 다공,2019,['H01']
1020267006580,복합입자내,2019,['H01']
1020267006580,복합 입자 내,2019,['H01']
1020267006580,입자내다공,2019,['H01']
1020267006580,입자 내 다공,2019,['H01']
1020267006580,입자내,2019,['H01']
1020267006580,입자 내,2019,['H01']
1020267006580,내다공,2019,['H01']
1020267006580,내 다공,2019,['H01']
1020267006580,중량비,2019,['H01']
1020267006580,중량 비,2019,['H01']
