ipc_prefix,term,tf,df
A01,myoc,285,1
A01,인간 동물,125,1
A01,rna,122,1
A01,가이드 rna,84,1
A01,가이드rna,84,1
A01,myoc 유전자,65,1
A01,myoc유전자,65,1
A01,인성 myoc,65,1
A01,인성myoc,65,1
A01,유전자 좌,61,1
A01,유전자좌,61,1
A01,myoc 유전자 좌,60,1
A01,myoc유전자좌,60,1
A01,인성 myoc 유전자,58,1
A01,인성myoc유전자,58,1
A01,인성 myoc 유전자 좌,57,1
A01,인성myoc유전자좌,57,1
A01,cas,53,1
A01,어댑터단백질,46,1
A01,내 인성,41,1
A01,내 인성 myoc,41,1
A01,내 인성 myoc 유전자,41,1
A01,내인성,41,1
A01,내인성myoc,41,1
A01,내인성myoc유전자,41,1
A01,인코딩,40,1
A01,발현 카세트,36,1
A01,발현카세트,36,1
A01,인간 myoc,33,1
A01,인간myoc,33,1
A01,선별장치,30,1
A01,mmhg,28,1
A01,myoc 서열,28,1
A01,myoc서열,28,1
A01,내지 중,28,1
A01,내지중,28,1
A01,냉난방시스템,28,1
A01,인간 myoc 서열,28,1
A01,인간myoc서열,28,1
A01,서열 번호,23,2
A01,서열번호,23,2
A01,냉난방수,22,1
A01,양식시스템,22,1
A01,myoc-,21,1
A01,순환 라인,21,1
A01,순환라인,21,1
A01,cas 단백질,20,1
A01,cas단백질,20,1
A01,냉난방 수,20,1
A01,동물세포,20,1
A01,표적 서열,20,1
A01,표적서열,20,1
A01,상층 공기,19,1
A01,상층공기,19,1
A01,ai,18,1
A01,양식방법,18,1
A01,제어모델,18,1
A01,센서,16,2
A01,영상,16,2
A01,검사장치,16,1
A01,도르레,16,1
A01,세포,16,1
A01,예측 값,16,1
A01,예측값,16,1
A01,전사 활성,16,1
A01,전사활성,16,1
A01,키메라 어댑터,16,1
A01,키메라 어댑터 단백질,16,1
A01,키메라어댑터단백질,16,1
A01,풀 리,16,1
A01,녹내장 치료제,15,1
A01,녹내장치료제,15,1
A01,돈 선별,15,1
A01,돈 선별 장치,15,1
A01,돈선별장치,15,1
A01,분류 출구,15,1
A01,분류출구,15,1
A01,유전자 통합,15,1
A01,유전자통합,15,1
A01,출하 돈,15,1
A01,출하 돈 선별,15,1
A01,출하 돈 선별 장치,15,1
A01,출하돈,15,1
A01,출하돈선별장치,15,1
A01,후보 녹내장,15,1
A01,후보 녹내장 치료제,15,1
A01,후보녹내장,15,1
A01,후보녹내장치료제,15,1
A01,권 취기,14,1
A01,권취기,14,1
A01,수 순환,14,1
A01,수 순환 라인,14,1
A01,수순환,14,1
A01,수순환라인,14,1
A01,양식장 설비,14,1
A01,양식장설비,14,1
A01,태양열 하이브리드,14,1
A01,태양열 하이브리드 냉난방,14,1
A01,태양열 하이브리드 냉난방 시스템,14,1
A01,태양열하이브리드,14,1
A01,태양열하이브리드냉난방시스템,14,1
A01,표적유전자,14,1
A01,하이브리드 냉난방,14,1
A01,하이브리드 냉난방 시스템,14,1
A01,하이브리드냉난방시스템,14,1
A01,호스 권,14,1
A01,호스 권 취기,14,1
A01,호스권,14,1
A01,호스권취기,14,1
