application_year,term,tf,df
2011,강하방법,28,1
2011,조성물,28,1
2011,안압 강하,15,1
2011,안압 강하 방법,14,1
2011,안압강하방법,14,1
2011,메탄올,9,1
2011,메틸페닐,9,1
2011,약제 학,7,1
2011,약제학,7,1
2011,유효 량,6,1
2011,유효량,6,1
2011,포장재료,6,1
2011,agent,4,1
2011,기저 안압,4,1
2011,기저 안압 미만,4,1
2011,기저안압,4,1
2011,기저안압미만,4,1
2011,동안 기저,4,1
2011,동안 기저 안압,4,1
2011,동안 기저 안압 미만,4,1
2011,동안기저,4,1
2011,동안기저안압,4,1
2011,동안기저안압미만,4,1
2011,안압 미만,4,1
2011,안압미만,4,1
2011,시간 동안,3,1
2011,시간 동안 기저,3,1
2011,시간 동안 기저 안압,3,1
2011,시간동안,3,1
2011,시간동안기저,3,1
2011,시간동안기저안압,3,1
2011,의 보존,3,1
2011,의보존,3,1
2011,building,2,1
2011,viscosity,2,1
2011,약제 학적,2,1
2011,약제 학적 작용제,2,1
2011,약제학적,2,1
2011,약제학적작용제,2,1
2011,제조 물품,2,1
2011,제조물품,2,1
2011,학적 작용제,2,1
2011,학적작용제,2,1
2011,building agent,1,1
2011,buildingagent,1,1
2011,viscosity building,1,1
2011,viscosity building agent,1,1
2011,viscositybuilding,1,1
2011,viscositybuildingagent,1,1
2011,거울상 체,1,1
2011,거울상체,1,1
2011,공용 매,1,1
2011,공용매,1,1
2011,단일 용량,1,1
2011,단일용량,1,1
2011,대상 체,1,1
2011,대상체,1,1
2011,변 체,1,1
2011,의 공용,1,1
2011,의 공용 매,1,1
2011,의 점성,1,1
2011,의 점성 구성,1,1
2011,의공용,1,1
2011,의공용매,1,1
2011,의점성,1,1
2011,의점성구성,1,1
2011,재료 내,1,1
2011,재료내,1,1
2011,점성 구성,1,1
2011,점성구성,1,1
2011,포장 재료 내,1,1
2011,포장재료내,1,1
2011,하루 동안,1,1
2011,하루 동안 기저,1,1
2011,하루 동안 기저 안압,1,1
2011,하루동안,1,1
2011,하루동안기저,1,1
2011,하루동안기저안압,1,1
2011,호 변,1,1
